James, Morgan, Briggs, True, 2024030986, jmorgan0986@estudianteclvz.cr, (99, 52, 48, 62.2, 62.2) 
Lawrence, Crist, Burden, False, 2021062447, lcrist2447@estudianteclvz.cr, (88, 97, 69, 83.5, 83.5) 
Deborah, Manalili, Thompson, True, 2023049469, dmanalili9469@estudianteclvz.cr, (32, 1, 96, 46.8, 46.8) 
Robert, Evans, Mcgough, True, 2021043901, revans3901@estudianteclvz.cr, (9, 38, 56, 38.0, 38.0) 
Apryl, Emmanuel, Wright, True, 2021048298, aemmanuel8298@estudianteclvz.cr, (73, 86, 47, 67.1, 67.1) 
Deborah, Graff, Shams, True, 2025054460, dgraff4460@estudianteclvz.cr, (98, 95, 37, 72.5, 72.5) 
Charles, Rowe, Bailey, True, 2021016380, crowe6380@estudianteclvz.cr, (43, 83, 24, 49.4, 49.4) 
Jack, Kyle, Mcglynn, False, 2021050165, jkyle0165@estudianteclvz.cr, (39, 12, 9, 17.6, 17.6) 
William, Fuller, Vangundy, True, 2025016970, wfuller6970@estudianteclvz.cr, (48, 15, 94, 54.9, 54.9) 
Tim, Oconnell, Colvin, False, 2021056783, toconnell6783@estudianteclvz.cr, (34, 4, 24, 19.5, 19.5) 
Matilda, Ledezma, Lyons, True, 2023017601, mledezma7601@estudianteclvz.cr, (96, 8, 69, 54.4, 54.4) 
Antone, Cook, Anderson, False, 2021069574, acook9574@estudianteclvz.cr, (24, 10, 91, 45.9, 45.9) 
Kenneth, Cumberledge, Stringer, True, 2024017217, kcumberledge7217@estudianteclvz.cr, (90, 44, 98, 77.1, 77.1) 
Thomas, Mckinzie, Ohler, True, 2023022289, tmckinzie2289@estudianteclvz.cr, (19, 22, 55, 34.5, 34.5) 
Elmer, Terrell, Heath, False, 2022036524, eterrell6524@estudianteclvz.cr, (27, 61, 36, 42.5, 42.5) 
Pamela, Ison, Elliott, True, 2020061437, pison1437@estudianteclvz.cr, (51, 19, 18, 26.6, 26.6) 
Whitney, Lee, Mildon, True, 2025010385, wlee0385@estudianteclvz.cr, (89, 98, 91, 92.9, 92.9) 
George, Jackson, Darosa, False, 2024026691, gjackson6691@estudianteclvz.cr, (76, 52, 96, 75.6, 75.6) 
Enid, Dockery, Shook, False, 2022033892, edockery3892@estudianteclvz.cr, (89, 15, 7, 30.3, 30.3) 
Allan, Reinoso, Duncan, True, 2023025411, areinoso5411@estudianteclvz.cr, (91, 88, 39, 69.2, 69.2) 
Ji, Sykes, Thomas, False, 2020060477, jsykes0477@estudianteclvz.cr, (22, 5, 14, 12.9, 12.9) 
Carol, Larry, Neves, True, 2024063933, clarry3933@estudianteclvz.cr, (44, 30, 66, 47.9, 47.9) 
Kenneth, Knapp, Godoy, True, 2023022878, kknapp2878@estudianteclvz.cr, (55, 60, 30, 46.8, 46.8) 
Michael, Lewis, Day, False, 2025053791, mlewis3791@estudianteclvz.cr, (58, 28, 100, 64.3, 64.3) 
Jannette, Keen, Bailey, True, 2021033989, jkeen3989@estudianteclvz.cr, (96, 92, 18, 63.4, 63.4) 
Michael, Martinez, Windmeyer, False, 2025062243, mmartinez2243@estudianteclvz.cr, (93, 74, 38, 64.3, 64.3) 
Peter, White, Price, True, 2020021887, pwhite1887@estudianteclvz.cr, (2, 13, 78, 36.2, 36.2) 
Bertha, Claunch, Chavez, True, 2025025386, bclaunch5386@estudianteclvz.cr, (45, 14, 16, 22.5, 22.5) 
Deborah, Forde, Allen, True, 2021046812, dforde6812@estudianteclvz.cr, (25, 88, 49, 56.6, 56.6) 
Dorothy, Alfaro, Clarkson, True, 2024067063, dalfaro7063@estudianteclvz.cr, (69, 61, 52, 59.4, 59.4) 
Casey, Stewart, Hanley, True, 2023029349, cstewart9349@estudianteclvz.cr, (64, 8, 86, 53.2, 53.2) 
Mildred, Hammack, Whitehorn, False, 2024040820, mhammack0820@estudianteclvz.cr, (20, 68, 94, 66.4, 66.4) 
Carolyn, Harris, Busch, True, 2024043825, charris3825@estudianteclvz.cr, (22, 43, 68, 47.8, 47.8) 
David, Stride, Laforge, False, 2025053391, dstride3391@estudianteclvz.cr, (26, 28, 48, 35.5, 35.5) 
Edgar, Ornelas, Ray, False, 2023034924, eornelas4924@estudianteclvz.cr, (95, 31, 72, 63.4, 63.4) 
Tony, Watson, Stiles, False, 2021025746, twatson5746@estudianteclvz.cr, (70, 47, 49, 53.6, 53.6) 
Justin, Hoskins, Blomdahl, False, 2024030997, jhoskins0997@estudianteclvz.cr, (64, 36, 49, 48.2, 48.2) 
Jason, Robinson, Fanter, False, 2020042974, jrobinson2974@estudianteclvz.cr, (58, 69, 28, 49.9, 49.9) 
Meagan, Billingslea, Morrow, True, 2024066504, mbillingslea6504@estudianteclvz.cr, (6, 92, 26, 44.1, 44.1) 
Gary, Gjertsen, Brown, True, 2022047944, ggjertsen7944@estudianteclvz.cr, (33, 52, 60, 50.5, 50.5) 
