Reporte en HTML Tarea Programada #1 
Detalle de notas. 
Nombre,Apellidos,Género,Carné,Correo,Notas,Estado 
Robert,Leduc Adams,Femenino,2021023095,rleduc3095@estudianteclvz.cr,97 67 7 50.5,Reprobado 
Courtney,Baier Brown,Masculino,2021048837,cbaier8837@estudianteclvz.cr,41 32 87 56.2,Reprobado 
Andrea,Laws Dewan,Femenino,2023049726,alaws9726@estudianteclvz.cr,55 78 44 58.6,Reprobado 
Dorothy,Huseby Golden,Masculino,2023059593,dhuseby9593@estudianteclvz.cr,69 51 59 58.7,Reprobado 
Robert,Kubie Tompkins,Masculino,2023019359,rkubie9359@estudianteclvz.cr,46 78 98 78.0,Aprobado 
Michael,Diaz Mertz,Femenino,2023067385,mdiaz7385@estudianteclvz.cr,34 10 24 21.6,Reprobado 
Ronnie,Hinds Mckown,Masculino,2025016195,rhinds6195@estudianteclvz.cr,85 77 56 70.6,Aprobado 
Chieko,Collins Robinson,Femenino,2020063465,ccollins3465@estudianteclvz.cr,19 49 100 61.9,Reposición 
Harvey,Contreras Poulos,Masculino,2022053364,hcontreras3364@estudianteclvz.cr,10 18 54 30.4,Reprobado 
Christopher,Ferguson Beaver,Masculino,2020036652,cferguson6652@estudianteclvz.cr,64 49 78 64.3,Reposición 
Jack,Rash Rosmarin,Femenino,2022042520,jrash2520@estudianteclvz.cr,59 8 36 32.0,Reprobado 
Gregory,Kaplan Bradford,Femenino,2021054142,gkaplan4142@estudianteclvz.cr,85 84 48 69.8,Reposición 
Leroy,Hartman Richardson,Masculino,2021067589,lhartman7589@estudianteclvz.cr,44 87 2 42.2,Reprobado 
Mary,Miller Rennemeyer,Masculino,2020011249,mmiller1249@estudianteclvz.cr,54 99 30 60.1,Reposición 
Marilyn,Bailey Derry,Masculino,2020012331,mbailey2331@estudianteclvz.cr,70 84 30 58.9,Reprobado 
Lashonda,Joachim Diefenderfer,Femenino,2022040673,ljoachim0673@estudianteclvz.cr,86 77 33 61.7,Reposición 
Martha,Born Doss,Femenino,2025069743,mborn9743@estudianteclvz.cr,29 35 13 24.7,Reprobado 
Meagan,Adkins Bubar,Femenino,2023055410,madkins5410@estudianteclvz.cr,33 35 7 23.3,Reprobado 
Kenneth,Hawkins Smith,Masculino,2025024635,khawkins4635@estudianteclvz.cr,59 36 76 57.8,Reprobado 
Betty,Arthur Brown,Masculino,2023046964,barthur6964@estudianteclvz.cr,9 90 52 54.5,Reprobado 
Carrie,Smith Brandon,Masculino,2020041400,csmith1400@estudianteclvz.cr,10 68 4 27.9,Reprobado 
Robbie,Beckett Battle,Femenino,2022065924,rbeckett5924@estudianteclvz.cr,46 88 27 53.1,Reprobado 
Chester,Ramirez Carlson,Femenino,2023066170,cramirez6170@estudianteclvz.cr,96 89 50 75.2,Aprobado 
Peter,Loveall Anguiano,Masculino,2023049438,ploveall9438@estudianteclvz.cr,27 79 37 49.2,Reprobado 
Diane,Taylor Ellison,Masculino,2023012712,dtaylor2712@estudianteclvz.cr,27 6 35 22.9,Reprobado 
Charlene,Buttaro Shoun,Masculino,2021035397,cbuttaro5397@estudianteclvz.cr,6 96 64 60.7,Reposición 
Evelyn,Zipfel Jorge,Masculino,2020022292,ezipfel2292@estudianteclvz.cr,72 9 54 42.8,Reprobado 
William,Sturtevant Wethington,Femenino,2023069711,wsturtevant9711@estudianteclvz.cr,72 37 73 60.2,Reposición 
Lula,Mcgehee Martin,Femenino,2023030013,lmcgehee0013@estudianteclvz.cr,47 4 44 30.8,Reprobado 
Marx,Paules Pate,Femenino,2025052362,mpaules2362@estudianteclvz.cr,51 91 89 80.2,Aprobado 
Judith,Marcos Conover,Femenino,2022012124,jmarcos2124@estudianteclvz.cr,25 12 4 12.0,Reprobado 
Mary,Adams Cory,Masculino,2022031957,madams1957@estudianteclvz.cr,20 16 83 43.8,Reprobado 
Russell,Napier Lopez,Masculino,2025069804,rnapier9804@estudianteclvz.cr,66 30 89 62.6,Reposición 
Jerry,Wilber Mitchell,Masculino,2020052001,jwilber2001@estudianteclvz.cr,54 60 18 41.7,Reprobado 
Austin,Delgado Coats,Femenino,2024051403,adelgado1403@estudianteclvz.cr,4 89 8 35.4,Reprobado 
Ron,Mirando Grabner,Femenino,2024060754,rmirando0754@estudianteclvz.cr,25 78 16 39.9,Reprobado 
Steven,Harris Hedrick,Femenino,2021056907,sharris6907@estudianteclvz.cr,90 23 23 39.8,Reprobado 
Jamie,Washington Bradley,Femenino,2020021909,jwashington1909@estudianteclvz.cr,42 38 55 45.8,Reprobado 
Onie,Williams Stuckett,Femenino,2021051692,owilliams1692@estudianteclvz.cr,71 36 50 50.4,Reprobado 
Raymond,Hartle Mauricio,Masculino,2020022270,rhartle2270@estudianteclvz.cr,75 24 86 61.5,Reposición 
Pedro,Willis Black,Femenino,2020018200,pwillis8200@estudianteclvz.cr,63 1 57 38.9,Reprobado 
Charles,Farruggio Dennis,Femenino,2025066532,cfarruggio6532@estudianteclvz.cr,8 2 60 26.7,Reprobado 
